epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90623,1.94931,20.575,6.30812,0,0,0,0,2.03946,21.5678,6.09444,0.00198077,0.00198077,0.0821731
2,17.99,1.87066,15.4087,5.97928,0.34025,0.01917,0.00238,0.00039,2.0443,16.9373,6.22409,0.00398053,0.00398053,0.0641728
3,25.8463,1.80829,15.0344,5.71129,0.00246,0.09265,0.00327,0.00064,1.99102,17.3998,5.8837,0.00597931,0.00597931,0.0461716
4,33.7069,1.66817,15.0595,5.51296,0.0056,0.10781,0.00599,0.00108,1.77198,15.5695,5.43635,0.00797638,0.00797638,0.0281687
5,41.5048,1.588,15.2238,5.31549,0.71945,0.05,0.02374,0.00294,1.79037,19.7572,5.40806,0.00997102,0.00997102,0.0101633
6,49.186,1.5114,15.0374,5.17765,0.01628,0.10782,0.00915,0.00154,1.7173,16.5783,5.41204,0.00998474,0.00998474,0.00998474
7,56.8568,1.50317,14.9448,5.11697,0.79636,0.05338,0.06568,0.01144,1.71346,19.1307,5.16328,0.00997803,0.00997803,0.00997803
8,64.536,1.47484,14.8717,5.07158,0.00577,0.28467,0.0052,0.00084,1.72775,18.5781,5.6508,0.00997011,0.00997011,0.00997011
9,72.0694,1.42991,14.8974,4.95896,0.69997,0.06667,0.02125,0.00364,1.6393,24.6064,5.20929,0.00996097,0.00996097,0.00996097
10,79.5849,1.41314,14.6976,4.98108,0.67579,0.00877,0.01209,0.00241,1.64126,15.9418,5.27229,0.00995062,0.00995062,0.00995062
11,87.1012,1.40587,14.5907,4.9353,0.00494,0.28487,0.00862,0.00168,1.77652,17.155,5.45949,0.00993906,0.00993906,0.00993906
12,94.572,1.42049,14.2597,4.86972,0.02505,0.29527,0.0237,0.00326,1.6492,18.9161,5.26348,0.00992629,0.00992629,0.00992629
13,101.905,1.38135,14.1244,4.82553,0.4198,0.09211,0.08461,0.01524,1.59646,16.1636,5.00707,0.00991232,0.00991232,0.00991232
14,109.234,1.38675,13.9206,4.7901,0.40864,0.06667,0.04524,0.0131,1.59052,14.2777,4.9465,0.00989715,0.00989715,0.00989715
15,116.55,1.36278,13.9268,4.71785,0.7473,0.1,0.06906,0.00916,1.59271,15.4116,4.88742,0.00988079,0.00988079,0.00988079
16,123.812,1.38142,13.9771,4.7655,0.4119,0.06053,0.03551,0.00869,1.60191,17.8508,5.01487,0.00986323,0.00986323,0.00986323
